airportName,cityName,takeOffTime,landTime,latitude,longitude,runwayNum
LAX,Los Angeles CA,60,60,33.9428209,-118.4092766,2
ATL,Atlanta GA,60,60,33.6366996,-84.427864,2
ORD,Chicago IL,60,60,41.9773201,-87.9080059,2
MCI,Kansas City MO,60,60,39.2975,-94.713889,3
LIT,Little Rock AR,60,60,34.729444,-92.224722,3
MEM,Memphis TN,60,60,35.0425,-89.976667,4
KNKX,San Diego CA,60,60,32.867778,-117.141667,2
KCVG,Hebron KY,60,60,39.048889,-84.667778,4
KBOS,Boston MA,60,60,42.363056,-71.006389,6
KMSP,Minneapolis MN,60,60,44.881944,-93.221667,4
KSTL,St. Louis MO,60,60,38.747222,-90.361389,4
KPHL,Philadelphia PA,60,60,39.871944,-75.241111,4
KSLC,Salt Lake City UT,60,60,40.788333,-111.977778,4
KSAV,Savannah GA,60,60,32.1275,-81.202222,2
