airFlightNum,eventTime,eventPriority,eventType
UA20268,21600,1,0
UA20334,21600,1,0
UA20397,21660,1,0
UA20892,21660,1,0
UA21254,21660,1,0
UA20268,21660,1,1
UA20334,21660,1,1
UA20169,21720,1,0
UA21033,21720,1,0
UA21233,21720,1,0
UA20397,21720,1,1
UA20892,21720,1,1
UA21254,21720,1,1
UA20495,21780,1,0
UA20169,21780,1,1
UA21033,21780,1,1
UA21233,21780,1,1
UA20131,21840,1,0
UA20166,21840,1,0
UA20256,21840,1,0
UA20289,21840,1,0
UA20552,21840,1,0
UA20751,21840,1,0
UA20495,21840,1,1
UA11082,3077,1,2
UA11082,3137,1,3
UA10418,3561,1,2
UA10418,3621,1,3
UA10253,3993,1,2
UA10253,4053,1,3
UA10259,4939,1,2
UA10259,4999,1,3
UA10946,5443,1,2
UA10946,5503,1,3
UA11096,7023,1,2
UA11096,7083,1,3
UA11289,9508,1,2
UA11289,9568,1,3
UA10029,11110,1,2
UA10029,11170,1,3
UA20334,12636,1,2
UA21254,14126,1,2
UA21254,14186,1,3
UA10860,15047,10,2
UA10860,15107,1,3
UA20022,21900,1,0
UA20630,21900,1,0
UA20843,21900,1,0
UA20962,21900,1,0
UA21053,21900,1,0
UA20131,21900,1,1
UA20166,21900,1,1
UA20256,21900,1,1
UA20289,21900,1,1
UA20552,21900,1,1
UA20751,21900,1,1
UA20334,21901,1,2
UA20708,21960,1,0
UA20987,21960,1,0
UA21198,21960,1,0
UA20022,21960,1,1
UA20630,21960,1,1
UA20843,21960,1,1
UA20962,21960,1,1
UA21053,21960,1,1
UA20334,21961,1,3
UA20673,22020,1,0
UA20696,22020,1,0
UA21170,22020,1,0
UA20708,22020,1,1
UA20987,22020,1,1
UA21198,22020,1,1
UA20014,22080,1,0
UA20396,22080,1,0
UA20458,22080,1,0
UA20673,22080,1,1
UA20696,22080,1,1
UA21170,22080,1,1
UA20773,22140,1,0
UA21143,22140,1,0
UA20014,22140,1,1
UA20396,22140,1,1
UA20458,22140,1,1
UA21170,2441,1,2
UA21170,2501,1,3
UA10577,2615,1,2
UA10577,2675,1,3
UA20673,3818,1,2
UA20673,3878,1,3
UA10137,4609,1,2
UA10137,4669,1,3
UA20014,5538,1,2
UA20014,5598,1,3
UA10694,5815,1,2
UA10694,5875,1,3
UA11175,6065,1,2
UA11175,6125,1,3
UA10475,6273,1,2
UA10475,6333,1,3
UA20696,6396,1,2
UA20696,6456,1,3
UA20962,7150,1,2
UA10308,7150,1,2
UA20962,7210,1,3
UA10308,7210,1,3
UA10208,8013,1,2
UA10208,8073,1,3
UA20987,8763,1,2
UA20987,8823,1,3
UA11346,9955,1,2
UA11346,10015,1,3
UA20256,12780,1,2
UA20256,12840,1,3
UA20751,13886,1,2
UA20751,13946,1,3
UA20630,15175,10,2
UA20630,15235,1,3
UA20132,22200,1,0
UA20217,22200,1,0
UA20774,22200,1,0
UA20877,22200,1,0
UA20773,22200,1,1
UA21143,22200,1,1
UA20272,22260,1,0
UA21075,22260,1,0
UA20132,22260,1,1
UA20217,22260,1,1
UA20774,22260,1,1
UA20877,22260,1,1
UA20142,22320,1,0
UA20145,22320,1,0
UA20563,22320,1,0
UA20985,22320,1,0
UA21086,22320,1,0
UA21182,22320,1,0
UA20272,22320,1,1
UA21075,22320,1,1
UA20114,22380,1,0
UA21016,22380,1,0
UA20142,22380,1,1
UA20145,22380,1,1
UA20563,22380,1,1
UA20985,22380,1,1
UA21086,22380,1,1
UA21182,22380,1,1
UA20114,22381,1,0
UA20414,22440,1,0
UA20439,22440,1,0
UA20562,22440,1,0
UA21137,22440,1,0
UA21016,22440,1,1
UA20114,22441,1,1
UA11139,2987,1,2
UA11139,3047,1,3
UA21016,3128,1,2
UA21016,3188,1,3
UA20985,3542,1,2
UA20985,3602,1,3
UA10116,4447,1,2
UA10116,4507,1,3
UA21182,4894,1,2
UA21182,4954,1,3
UA20774,6177,1,2
UA20774,6237,1,3
UA20877,6400,1,2
UA20877,6460,1,3
UA20114,7175,1,2
UA20114,7235,1,3
UA20145,8577,1,2
UA20145,8637,1,3
UA21075,10367,1,2
UA20563,10367,1,2
UA21075,10427,1,3
UA20563,10427,1,3
UA10153,12509,1,2
UA10153,12569,1,3
UA21086,15277,10,2
UA21086,15337,1,3
UA20155,22500,1,0
UA20966,22500,1,0
UA20414,22500,1,1
UA20439,22500,1,1
UA20562,22500,1,1
UA21137,22500,1,1
UA20050,22560,1,0
UA20151,22560,1,0
UA20417,22560,1,0
UA20560,22560,1,0
UA21275,22560,1,0
UA20155,22560,1,1
UA20966,22560,1,1
UA20083,22620,1,0
UA20098,22620,1,0
UA20277,22620,1,0
UA20301,22620,1,0
UA20530,22620,1,0
UA20536,22620,1,0
UA20754,22620,1,0
UA21099,22620,1,0
UA21152,22620,1,0
UA20050,22620,1,1
UA20151,22620,1,1
UA20417,22620,1,1
UA20560,22620,1,1
UA21275,22620,1,1
UA20098,22621,1,0
UA20179,22680,1,0
UA20421,22680,1,0
UA21006,22680,1,0
UA20083,22680,1,1
UA20277,22680,1,1
UA20301,22680,1,1
UA20530,22680,1,1
UA20536,22680,1,1
UA20754,22680,1,1
UA21099,22680,1,1
UA21152,22680,1,1
UA20098,22681,1,1
UA20110,22740,1,0
UA20631,22740,1,0
UA20839,22740,1,0
UA21050,22740,1,0
UA20179,22740,1,1
UA20421,22740,1,1
UA21006,22740,1,1
UA20421,1127,1,2
UA20421,1187,1,3
UA10239,1560,1,2
UA10239,1620,1,3
UA10508,2187,1,2
UA10508,2247,1,3
UA10627,2942,1,2
UA10627,3002,1,3
UA11284,3336,1,2
UA11284,3396,1,3
UA20966,4613,1,2
UA20439,4659,1,2
UA20966,4673,1,3
UA20439,4719,1,3
UA20562,6483,1,2
UA20562,6543,1,3
UA11080,7023,1,2
UA11080,7083,1,3
UA20179,7538,1,2
UA20179,7598,1,3
UA10966,7679,1,2
UA10966,7739,1,3
UA21152,8577,1,2
UA21152,8637,1,3
UA10847,9107,1,2
UA10847,9167,1,3
UA20536,10287,1,2
UA20536,10347,1,3
UA20560,10367,1,2
UA20560,10427,1,3
UA20050,10808,1,2
UA20050,10868,1,3
UA21099,13323,1,2
UA21099,13383,1,3
UA21006,13425,1,2
UA21006,13485,1,3
UA20417,14309,10,2
UA20417,14369,1,3
UA10864,16593,10,2
UA10864,16653,1,3
UA10801,17987,10,2
UA10801,18047,1,3
UA21275,18140,10,2
UA21275,18200,1,3
UA20168,22800,1,0
UA20110,22800,1,1
UA20631,22800,1,1
UA20839,22800,1,1
UA21050,22800,1,1
UA20470,22860,1,0
UA20633,22860,1,0
UA21278,22860,1,0
UA20168,22860,1,1
UA20825,22920,1,0
UA20957,22920,1,0
UA21171,22920,1,0
UA20470,22920,1,1
UA20633,22920,1,1
UA21278,22920,1,1
UA20597,22980,1,0
UA20638,22980,1,0
UA20641,22980,1,0
UA20686,22980,1,0
UA20825,22980,1,1
UA20957,22980,1,1
UA21171,22980,1,1
UA20009,23040,1,0
UA20344,23040,1,0
UA20572,23040,1,0
UA20837,23040,1,0
UA20597,23040,1,1
UA20638,23040,1,1
UA20641,23040,1,1
UA20686,23040,1,1
UA10720,1468,1,2
UA10720,1528,1,3
UA11198,2018,1,2
UA21050,2042,1,2
UA11198,2078,1,3
UA21050,2102,1,3
UA10303,3112,1,2
UA10303,3172,1,3
UA11333,3254,1,2
UA11333,3314,1,3
UA11326,4203,1,2
UA11326,4263,1,3
UA10413,4323,1,2
UA10413,4383,1,3
UA10273,5586,1,2
UA10273,5646,1,3
UA20957,5808,1,2
UA20957,5868,1,3
UA20825,6244,1,2
UA20825,6304,1,3
UA20633,6396,1,2
UA20633,6456,1,3
UA20168,6559,1,2
UA20168,6619,1,3
UA10931,6939,1,2
UA10931,6999,1,3
UA10185,7010,1,2
UA10185,7070,1,3
UA20110,7818,1,2
UA20110,7878,1,3
UA10920,9297,1,2
UA10920,9357,1,3
UA10110,11907,1,2
UA10110,11967,1,3
UA10146,12509,1,2
UA10146,12569,1,3
UA20624,23100,1,0
UA20662,23100,1,0
UA20009,23100,1,1
UA20344,23100,1,1
UA20572,23100,1,1
UA20837,23100,1,1
UA20338,23160,1,0
UA20426,23160,1,0
UA20776,23160,1,0
UA21122,23160,1,0
UA20624,23160,1,1
UA20662,23160,1,1
UA20092,23220,1,0
UA21022,23220,1,0
UA20338,23220,1,1
UA20426,23220,1,1
UA20776,23220,1,1
UA21122,23220,1,1
UA20348,23280,1,0
UA20388,23280,1,0
UA20585,23280,1,0
UA20632,23280,1,0
UA20991,23280,1,0
UA21121,23280,1,0
UA20092,23280,1,1
UA21022,23280,1,1
UA20113,23340,1,0
UA20591,23340,1,0
UA21159,23340,1,0
UA20348,23340,1,1
UA20388,23340,1,1
UA20585,23340,1,1
UA20632,23340,1,1
UA20991,23340,1,1
UA21121,23340,1,1
UA11023,1318,1,2
UA11023,1378,1,3
UA10190,2367,1,2
UA10190,2427,1,3
UA21022,2441,1,2
UA21022,2501,1,3
UA20426,3128,1,2
UA20426,3188,1,3
UA20572,3810,1,2
UA20572,3870,1,3
UA10113,4050,1,2
UA10113,4110,1,3
UA10564,4146,1,2
UA10564,4206,1,3
UA10248,4673,1,2
UA10248,4733,1,3
UA10934,4833,1,2
UA10934,4893,1,3
UA10974,6010,1,2
UA11153,6064,1,2
UA10974,6070,1,3
UA11153,6124,1,3
UA20624,6341,1,2
UA20624,6401,1,3
UA20585,6943,1,2
UA20585,7003,1,3
UA10769,7108,1,2
UA10769,7168,1,3
UA20776,7874,1,2
UA20776,7934,1,3
UA20632,9522,1,2
UA20632,9582,1,3
UA10981,10013,1,2
UA10981,10073,1,3
UA10007,11824,1,2
UA10007,11884,1,3
UA20324,23400,1,0
UA20384,23400,1,0
UA20603,23400,1,0
UA20670,23400,1,0
UA21144,23400,1,0
UA20113,23400,1,1
UA20591,23400,1,1
UA21159,23400,1,1
UA20324,23460,1,1
