airplaneType,airFlightNum,originAirport,destinationAirport,curNumPassenger,scheduledTakeoffTime,scheduledDepartingTime,scheduledArrivingTime
Boeing 747,UA20000,JFK,KBOS,238,41760,41820,43260
Airbus 330,UA20001,JFK,KPHX,284,36720,36780,51420
Boeing 747,UA20002,JFK,KMSP,241,41520,41580,47940
Airbus 380,UA20003,JFK,MEM,565,32280,32340,38040
Airbus 380,UA20004,JFK,KSAV,589,28680,28740,33060
Airbus 380,UA20005,JFK,KNKX,575,30840,30900,44820
Boeing 747,UA20006,JFK,MEM,234,40980,41040,46980
Airbus 330,UA20007,JFK,ORD,278,30900,30960,36240
Boeing 747,UA20008,JFK,KSLC,240,35940,36000,47940
Boeing 747,UA20009,JFK,KMSP,224,23040,23100,29460
Airbus 380,UA20010,JFK,MCO,586,31920,31980,37560
Boeing 747,UA20011,JFK,KSAV,263,34260,34320,38880
Boeing 747,UA20012,JFK,MCI,251,42780,42840,49680
Airbus 330,UA20013,JFK,KSAV,268,35160,35220,40320
Boeing 747,UA20014,JFK,MCO,275,22080,22140,28020
Airbus 330,UA20015,JFK,KPHX,288,40440,40500,55140
Airbus 330,UA20016,JFK,KDTW,315,32280,32340,36060
Boeing 747,UA20017,JFK,LAX,262,31800,31860,46680
Airbus 330,UA20018,JFK,KSLC,301,38460,38520,52080
Boeing 747,UA20019,JFK,KDTW,270,39540,39600,42900
Boeing 747,UA20020,JFK,KPHL,261,28260,28320,29220
Airbus 330,UA20021,JFK,CLE,317,30240,30300,33480
Airbus 380,UA20022,JFK,KBOS,633,21900,21960,23340
Boeing 747,UA20023,JFK,ORD,241,26760,26820,31500
Boeing 747,UA20024,JFK,LAX,257,31860,31920,46740
Boeing 747,UA20025,JFK,ORD,224,37080,37140,41820
Airbus 380,UA20026,JFK,ATL,630,36840,36900,41460
Boeing 747,UA20027,JFK,KNKX,242,25980,26040,40620
Airbus 380,UA20028,JFK,KNKX,647,41460,41520,55440
Airbus 330,UA20029,JFK,KDTW,324,41880,41940,45660
Airbus 380,UA20030,JFK,KPHX,631,42540,42600,54900
Airbus 380,UA20031,JFK,SFO,577,31200,31260,45960
Airbus 380,UA20032,JFK,KCVG,610,37920,37980,41580
Airbus 330,UA20033,JFK,KSEA,274,41160,41220,57660
Airbus 330,UA20034,JFK,KPHX,282,42780,42840,57480
Airbus 380,UA20035,JFK,KSEA,608,33000,33060,46860
Boeing 747,UA20036,JFK,CLE,244,39900,39960,42780
Boeing 747,UA20037,JFK,KPHL,241,36060,36120,37020
Airbus 330,UA20038,JFK,MCO,311,28080,28140,34800
Airbus 330,UA20039,JFK,KPHL,307,41100,41160,42120
Airbus 330,UA20040,JFK,KCLT,272,24180,24240,28200
Airbus 330,UA20041,JFK,KNKX,301,30720,30780,47340
Airbus 330,UA20042,JFK,KCVG,318,43080,43140,47400
Airbus 380,UA20043,JFK,MCI,532,25320,25380,31920
Boeing 747,UA20044,JFK,KPIT,249,24480,24540,26880
Airbus 380,UA20045,JFK,KPIT,611,28800,28860,31080
Airbus 380,UA20046,JFK,KCLT,542,42780,42840,46200
Airbus 330,UA20047,JFK,KPIT,313,27900,27960,30540
Boeing 747,UA20048,JFK,LAX,225,28740,28800,43620
Airbus 330,UA20049,JFK,KSLC,291,37380,37440,51000
Airbus 330,UA20050,JFK,DEN,291,22560,22620,33780
Boeing 747,UA20051,JFK,SFO,229,38880,38940,54360
Airbus 380,UA20052,JFK,ORD,542,28800,28860,33300
Airbus 330,UA20053,JFK,ATL,276,42060,42120,47520
Airbus 330,UA20054,JFK,ATL,275,33000,33060,38460
Airbus 380,UA20055,JFK,KMCI,553,42240,42300,48840
Boeing 747,UA20056,JFK,MCO,237,24540,24600,30480
Boeing 747,UA20057,JFK,MCI,224,31800,31860,38700
Airbus 330,UA20058,JFK,SFO,277,26280,26340,43860
Boeing 747,UA20059,JFK,MEM,244,33120,33180,39120
Boeing 747,UA20060,JFK,KSTL,241,39000,39060,44580
Airbus 380,UA20061,JFK,CLE,635,23580,23640,26340
Airbus 330,UA20062,JFK,KMCI,311,34740,34800,42540
Boeing 747,UA20063,JFK,KSLC,231,25200,25260,37200
Airbus 380,UA20064,JFK,SFO,586,23520,23580,38280
Airbus 330,UA20065,JFK,KMSY,322,24900,24960,33180
Airbus 330,UA20066,JFK,CLE,327,35760,35820,39000
Airbus 330,UA20067,JFK,KPHL,297,28620,28680,29640
Boeing 747,UA20068,JFK,KMCI,226,43140,43200,50040
Airbus 330,UA20069,JFK,KMSY,329,32040,32100,40320
Boeing 747,UA20070,JFK,ORD,254,36840,36900,41580
Boeing 747,UA20071,JFK,KNKX,246,26460,26520,41100
Airbus 330,UA20072,JFK,KDTW,270,32520,32580,36300
Airbus 330,UA20073,JFK,KNKX,270,23520,23580,40140
Airbus 330,UA20074,JFK,DEN,271,36360,36420,47580
Airbus 330,UA20075,JFK,LIT,295,24000,24060,31620
Boeing 747,UA20076,JFK,KMSY,268,42360,42420,49680
Airbus 380,UA20077,JFK,LIT,528,29280,29340,35700
Airbus 380,UA20078,JFK,KBOS,615,35580,35640,37020
Boeing 747,UA20079,JFK,KPHX,272,38400,38460,51360
Airbus 330,UA20080,JFK,KSTL,273,41340,41400,47640
Boeing 747,UA20081,JFK,SFO,229,32280,32340,47760
Airbus 380,UA20082,JFK,KBOS,616,35100,35160,36540
Airbus 380,UA20083,JFK,KMSP,553,22620,22680,28740
Airbus 330,UA20084,JFK,KSTL,295,41400,41460,47700
Airbus 330,UA20085,JFK,KDTW,276,42120,42180,45900
Boeing 747,UA20086,JFK,KPHL,225,35520,35580,36480
Boeing 747,UA20087,JFK,KDTW,258,38880,38940,42240
Airbus 330,UA20088,JFK,MCO,323,24960,25020,31680
Boeing 747,UA20089,JFK,DEN,269,35520,35580,45420
Airbus 380,UA20090,JFK,CLE,598,33780,33840,36540
Airbus 380,UA20091,JFK,KDTW,525,33060,33120,36300
Airbus 330,UA20092,JFK,MCI,286,23220,23280,31020
Airbus 330,UA20093,JFK,KDTW,279,39060,39120,42840
Airbus 380,UA20094,JFK,CLE,619,29220,29280,31980
Boeing 747,UA20095,JFK,MEM,237,36000,36060,42000
Airbus 330,UA20096,JFK,KDTW,319,27120,27180,30900
Airbus 330,UA20097,JFK,KBOS,268,25140,25200,26760
Airbus 380,UA20098,JFK,KCVG,613,22620,22680,26280
